,student_id,course_code,course_title,course_year,course_semester,student_grade
0,2717,CSAI 101,Data Science,2019,Fall,67.0
1,3065,CSAI 101,Data Science,2019,Fall,64.25
2,1181,CSAI 101,Data Science,2019,Fall,66.75
3,2199,CSAI 101,Data Science,2019,Fall,78.5
4,463,CSAI 101,Data Science,2019,Fall,86.0
5,372,CSAI 101,Data Science,2019,Fall,87.0
6,289,CSAI 101,Data Science,2019,Fall,40.75
7,2040,CSAI 101,Data Science,2019,Fall,89.75
8,1323,CSAI 101,Data Science,2019,Fall,97.75
9,1414,CSAI 101,Data Science,2019,Fall,63.25
10,1700,CSAI 101,Data Science,2019,Fall,18.5
11,2067,CSAI 101,Data Science,2019,Fall,63.50000000000001
12,1018,CSAI 101,Data Science,2019,Fall,70.0
13,693,CSAI 101,Data Science,2019,Fall,84.75
14,1716,CSAI 101,Data Science,2019,Fall,102.75
15,2372,CSAI 101,Data Science,2019,Fall,43.49999999999999
16,1913,CSAI 101,Data Science,2019,Fall,58.0
17,2170,CSAI 101,Data Science,2019,Fall,81.5
18,302,CSAI 101,Data Science,2019,Fall,4.75
19,378,CSAI 101,Data Science,2019,Fall,97.25
20,94,CSAI 101,Data Science,2019,Fall,90.25
21,2740,CSAI 101,Data Science,2019,Fall,20.0
22,858,CSAI 101,Data Science,2019,Fall,68.0
23,542,CSAI 101,Data Science,2019,Fall,96.5
24,1162,CSAI 101,Data Science,2019,Fall,37.0
25,1964,CSAI 101,Data Science,2019,Fall,60.5
26,2062,CSAI 101,Data Science,2019,Fall,74.25
27,2595,CSAI 101,Data Science,2019,Fall,61.0
28,2269,CSAI 101,Data Science,2019,Fall,100.0
29,2264,CSAI 101,Data Science,2019,Fall,1.5
30,1807,CSAI 101,Data Science,2019,Fall,38.25
31,2375,CSAI 101,Data Science,2019,Fall,51.49999999999999
32,2288,CSAI 101,Data Science,2019,Fall,20.75
33,1974,CSAI 101,Data Science,2019,Fall,67.5
34,2492,CSAI 101,Data Science,2019,Fall,46.75
35,2886,CSAI 101,Data Science,2019,Fall,45.25
36,605,CSAI 101,Data Science,2019,Fall,38.25
37,251,CSAI 101,Data Science,2019,Fall,93.25
38,336,CSAI 101,Data Science,2019,Fall,18.999999999999996
39,168,CSAI 101,Data Science,2019,Fall,26.0
40,1835,CSAI 101,Data Science,2019,Fall,44.5
41,2953,CSAI 101,Data Science,2019,Fall,34.5
42,35,CSAI 101,Data Science,2019,Fall,75.25
43,2988,CSAI 101,Data Science,2019,Fall,105.75
44,1416,CSAI 101,Data Science,2019,Fall,18.75
45,2572,CSAI 101,Data Science,2019,Fall,89.5
46,3113,CSAI 101,Data Science,2019,Fall,33.75
47,152,CSAI 101,Data Science,2019,Fall,43.5
48,158,CSAI 101,Data Science,2019,Fall,43.75
49,3151,CSAI 101,Data Science,2019,Fall,5.75
50,2170,CSAI 102,Data Science,2019,Spring,83.5
51,3065,CSAI 102,Data Science,2019,Spring,38.24999999999999
52,1417,CSAI 102,Data Science,2019,Spring,1.5
53,2944,CSAI 102,Data Science,2019,Spring,64.25
54,1167,CSAI 102,Data Science,2019,Spring,70.0
55,1994,CSAI 102,Data Science,2019,Spring,87.75
56,1175,CSAI 102,Data Science,2019,Spring,5.75
57,1040,CSAI 102,Data Science,2019,Spring,57.00000000000001
58,2199,CSAI 102,Data Science,2019,Spring,66.5
59,725,CSAI 102,Data Science,2019,Spring,103.0
60,1974,CSAI 102,Data Science,2019,Spring,54.5
61,101,CSAI 102,Data Science,2019,Spring,29.0
62,1827,CSAI 102,Data Science,2019,Spring,45.0
63,2756,CSAI 102,Data Science,2019,Spring,39.25
64,1416,CSAI 102,Data Science,2019,Spring,4.75
65,2660,CSAI 102,Data Science,2019,Spring,10.25
66,1029,CSAI 102,Data Science,2019,Spring,73.75
67,336,CSAI 102,Data Science,2019,Spring,36.0
68,2886,CSAI 102,Data Science,2019,Spring,48.25
69,197,CSAI 102,Data Science,2019,Spring,45.5
70,2322,CSAI 102,Data Science,2019,Spring,57.0
71,2311,CSAI 102,Data Science,2019,Spring,54.00000000000001
72,1700,CSAI 102,Data Science,2019,Spring,1.4999999999999982
73,371,CSAI 102,Data Science,2019,Spring,17.75
74,1453,CSAI 102,Data Science,2019,Spring,10.0
75,2096,CSAI 102,Data Science,2019,Spring,8.75
76,94,CSAI 102,Data Science,2019,Spring,99.25
77,478,CSAI 102,Data Science,2019,Spring,49.0
78,2146,CSAI 102,Data Science,2019,Spring,74.0
79,3161,CSAI 102,Data Science,2019,Spring,33.5
80,858,CSAI 102,Data Science,2019,Spring,60.0
81,2573,CSAI 102,Data Science,2019,Spring,4.75
82,603,CSAI 102,Data Science,2019,Spring,13.75
83,864,CSAI 102,Data Science,2019,Spring,79.25
84,1916,CSAI 102,Data Science,2019,Spring,49.0
85,158,CSAI 102,Data Science,2019,Spring,34.75
86,947,CSAI 102,Data Science,2019,Spring,35.0
87,1022,CSAI 102,Data Science,2019,Spring,43.74999999999999
88,605,CSAI 102,Data Science,2019,Spring,47.25
89,1315,CSAI 102,Data Science,2019,Spring,103.25
90,931,CSAI 102,Data Science,2019,Spring,28.75
91,2507,CSAI 102,Data Science,2019,Spring,66.5
92,2182,CSAI 102,Data Science,2019,Spring,92.25
93,2740,CSAI 102,Data Science,2019,Spring,24.0
94,2326,CSAI 102,Data Science,2019,Spring,43.5
95,2393,CSAI 102,Data Science,2019,Spring,91.75
96,3147,CSAI 102,Data Science,2019,Spring,20.0
97,687,CSAI 102,Data Science,2019,Spring,97.5
98,302,CSAI 102,Data Science,2019,Spring,12.25
99,2207,CSAI 102,Data Science,2019,Spring,0.5
100,2202,CSAI 151,Data Science,2019,Spring,75.0
101,740,CSAI 151,Data Science,2019,Spring,85.0
102,2242,CSAI 151,Data Science,2019,Spring,0.25
103,1181,CSAI 151,Data Science,2019,Spring,74.75
104,1516,CSAI 151,Data Science,2019,Spring,26.25
105,2398,CSAI 151,Data Science,2019,Spring,71.25
106,3113,CSAI 151,Data Science,2019,Spring,21.75
107,2199,CSAI 151,Data Science,2019,Spring,87.5
108,725,CSAI 151,Data Science,2019,Spring,93.0
109,809,CSAI 151,Data Science,2019,Spring,73.5
110,373,CSAI 151,Data Science,2019,Spring,31.75
111,1453,CSAI 151,Data Science,2019,Spring,11.0
112,2322,CSAI 151,Data Science,2019,Spring,64.0
113,977,CSAI 151,Data Science,2019,Spring,80.25
114,35,CSAI 151,Data Science,2019,Spring,64.25
115,2005,CSAI 151,Data Science,2019,Spring,39.0
116,2311,CSAI 151,Data Science,2019,Spring,55.00000000000001
117,2315,CSAI 151,Data Science,2019,Spring,9.5
118,40,CSAI 151,Data Science,2019,Spring,22.0
119,2573,CSAI 151,Data Science,2019,Spring,13.25
120,700,CSAI 151,Data Science,2019,Spring,16.25
121,2709,CSAI 151,Data Science,2019,Spring,70.75
122,2492,CSAI 151,Data Science,2019,Spring,55.75
123,2060,CSAI 151,Data Science,2019,Spring,106.0
124,2756,CSAI 151,Data Science,2019,Spring,39.25
125,1264,CSAI 151,Data Science,2019,Spring,28.0
126,2738,CSAI 151,Data Science,2019,Spring,91.0
127,213,CSAI 151,Data Science,2019,Spring,90.25
128,288,CSAI 151,Data Science,2019,Spring,99.75
129,2372,CSAI 151,Data Science,2019,Spring,62.49999999999999
130,158,CSAI 151,Data Science,2019,Spring,51.75
131,1479,CSAI 151,Data Science,2019,Spring,29.0
132,2701,CSAI 151,Data Science,2019,Spring,12.25
133,1022,CSAI 151,Data Science,2019,Spring,57.74999999999999
134,2192,CSAI 151,Data Science,2019,Spring,26.0
135,1315,CSAI 151,Data Science,2019,Spring,92.25
136,2706,CSAI 151,Data Science,2019,Spring,49.25
137,261,CSAI 151,Data Science,2019,Spring,78.5
138,2967,CSAI 151,Data Science,2019,Spring,62.25
139,2644,CSAI 151,Data Science,2019,Spring,35.0
140,2544,CSAI 151,Data Science,2019,Spring,55.5
141,995,CSAI 151,Data Science,2019,Spring,50.5
142,2375,CSAI 151,Data Science,2019,Spring,64.5
143,77,CSAI 151,Data Science,2019,Spring,76.75
144,1951,CSAI 151,Data Science,2019,Spring,68.25
145,1093,CSAI 151,Data Science,2019,Spring,15.5
146,542,CSAI 151,Data Science,2019,Spring,110.5
147,1468,CSAI 151,Data Science,2019,Spring,60.25
148,289,CSAI 151,Data Science,2019,Spring,37.75
149,687,CSAI 151,Data Science,2019,Spring,76.5
150,630,CSAI 201,Data Science,2019,Summer,21.75
151,198,CSAI 201,Data Science,2019,Summer,23.25
152,809,CSAI 201,Data Science,2019,Summer,57.5
153,2907,CSAI 201,Data Science,2019,Summer,81.5
154,2726,CSAI 201,Data Science,2019,Summer,57.99999999999999
155,168,CSAI 201,Data Science,2019,Summer,16.0
156,2709,CSAI 201,Data Science,2019,Summer,58.75
157,1190,CSAI 201,Data Science,2019,Summer,9.0
158,3021,CSAI 201,Data Science,2019,Summer,67.0
159,2256,CSAI 201,Data Science,2019,Summer,78.25
160,944,CSAI 201,Data Science,2019,Summer,30.499999999999996
161,542,CSAI 201,Data Science,2019,Summer,98.5
162,2202,CSAI 201,Data Science,2019,Summer,99.0
163,2068,CSAI 201,Data Science,2019,Summer,38.0
164,581,CSAI 201,Data Science,2019,Summer,8.75
165,1289,CSAI 201,Data Science,2019,Summer,69.25
166,2681,CSAI 201,Data Science,2019,Summer,35.75
167,740,CSAI 201,Data Science,2019,Summer,78.0
168,1937,CSAI 201,Data Science,2019,Summer,70.5
169,1315,CSAI 201,Data Science,2019,Summer,75.25
170,1334,CSAI 201,Data Science,2019,Summer,86.75
171,2769,CSAI 201,Data Science,2019,Summer,4.5
172,1913,CSAI 201,Data Science,2019,Summer,43.0
173,2205,CSAI 201,Data Science,2019,Summer,69.75
174,462,CSAI 201,Data Science,2019,Summer,98.25
175,2950,CSAI 201,Data Science,2019,Summer,2.75
176,245,CSAI 201,Data Science,2019,Summer,4.75
177,3161,CSAI 201,Data Science,2019,Summer,38.5
178,1018,CSAI 201,Data Science,2019,Summer,56.0
179,371,CSAI 201,Data Science,2019,Summer,6.75
180,744,CSAI 201,Data Science,2019,Summer,91.5
181,307,CSAI 201,Data Science,2019,Summer,5.75
182,605,CSAI 201,Data Science,2019,Summer,38.25
183,658,CSAI 201,Data Science,2019,Summer,84.5
184,422,CSAI 201,Data Science,2019,Summer,18.999999999999996
185,1417,CSAI 201,Data Science,2019,Summer,10.5
186,864,CSAI 201,Data Science,2019,Summer,71.25
187,1029,CSAI 201,Data Science,2019,Summer,64.75
188,1199,CSAI 201,Data Science,2019,Summer,54.0
189,1994,CSAI 201,Data Science,2019,Summer,91.75
190,1516,CSAI 201,Data Science,2019,Summer,23.25
191,101,CSAI 201,Data Science,2019,Summer,22.0
192,2784,CSAI 201,Data Science,2019,Summer,63.75
193,7,CSAI 201,Data Science,2019,Summer,66.0
194,2660,CSAI 201,Data Science,2019,Summer,29.25
195,752,CSAI 201,Data Science,2019,Summer,53.25
196,2242,CSAI 201,Data Science,2019,Summer,0.75
197,1181,CSAI 201,Data Science,2019,Summer,55.75
198,3084,CSAI 201,Data Science,2019,Summer,5.25
199,2264,CSAI 201,Data Science,2019,Summer,24.5
200,2988,CSAI 202,Data Science,2019,Fall,86.75
201,371,CSAI 202,Data Science,2019,Fall,13.75
202,158,CSAI 202,Data Science,2019,Fall,61.75
203,2110,CSAI 202,Data Science,2019,Fall,114.0
204,2370,CSAI 202,Data Science,2019,Fall,100.5
205,94,CSAI 202,Data Science,2019,Fall,77.25
206,1453,CSAI 202,Data Science,2019,Fall,16.0
207,2393,CSAI 202,Data Science,2019,Fall,69.75
208,1916,CSAI 202,Data Science,2019,Fall,72.0
209,2726,CSAI 202,Data Science,2019,Fall,63.99999999999999
210,1994,CSAI 202,Data Science,2019,Fall,88.75
211,2174,CSAI 202,Data Science,2019,Fall,55.25
212,1343,CSAI 202,Data Science,2019,Fall,66.25
213,2448,CSAI 202,Data Science,2019,Fall,17.0
214,2383,CSAI 202,Data Science,2019,Fall,26.0
215,614,CSAI 202,Data Science,2019,Fall,15.500000000000004
216,261,CSAI 202,Data Science,2019,Fall,62.5
217,263,CSAI 202,Data Science,2019,Fall,73.5
218,2202,CSAI 202,Data Science,2019,Fall,80.0
219,2677,CSAI 202,Data Science,2019,Fall,63.75
220,2906,CSAI 202,Data Science,2019,Fall,18.0
221,1181,CSAI 202,Data Science,2019,Fall,58.75
222,1827,CSAI 202,Data Science,2019,Fall,58.0
223,935,CSAI 202,Data Science,2019,Fall,29.25
224,462,CSAI 202,Data Science,2019,Fall,90.25
225,2967,CSAI 202,Data Science,2019,Fall,74.25
